ParkID;Name;Official;Advisories;SpecialFeatures;Facilities;Washrooms;StreetNumber;StreetName;EWStreet;NSStreet;NeighbourhoodName;NeighbourhoodURL;Hectare;GoogleMapDest
222;Westmount Park;1;N;N;Y;N;4651;W 2nd Avenue;W 2nd Avenue;Blanca Street;West Point Grey;https://vancouver.ca/news-calendar/point-grey.aspx;0.4;49.271852,-123.214423
228;Oak Meadows Park;0;N;Y;Y;N;899;W 37th Avenue;W 37th Avenue;Oak Street;South Cambie;https://vancouver.ca/news-calendar/south-cambie.aspx;5.0;49.238445,-123.125795
234;Aberdeen Park;1;N;N;Y;N;3525;Foster Avenue;Foster Avenue;Aberdeen Street;Renfrew-Collingwood;https://vancouver.ca/news-calendar/renfrew.aspx;1.0;49.234765,-123.027446
236;Ebisu Park;0;N;N;Y;N;8810;Olser Street;W 72nd Avenue;Olser Street;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;0.4;49.205468,-123.132836
238;Carolina Park;1;N;N;N;N;2100;Carolina Street;E 5th Avenue;Carolina Street;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;0.08;49.266401,-123.090778
241;Habitat Island;0;N;N;N;N;1616;Columbia Street;;;Mount Pleasant;https://vancouver.ca/news-calendar/mount-pleasant.aspx;0.6;49.27221,-123.110791
246;Creekway Park;1;N;N;N;N;2901;E Hastings Street;McGill Street;;Hastings-Sunrise;https://vancouver.ca/news-calendar/hastings-sunrise.aspx;8.0;49.288336,-123.036982
2;Carnarvon Park;1;N;N;Y;Y;2995;W 19th Avenue;W 19th Avenue;Mackenzie Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;3.79;49.256555,-123.171406
5;Park Site on Quesnel Drive;0;N;N;N;N;4301;Quesnel Drive;Quesnel Drive;MacKenzie Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;0.03;49.247623,-123.169948
7;Ravine Park;1;N;N;N;N;2159;W 36th Avenue;W 36th Avenue;Arbutus Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;0.72;49.240902,-123.155935
9;Park Site on Trafalgar Street;0;N;N;N;N;4600;Trafalgar Street;W 31st Avenue;Trafalgar Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;0.14;49.244396,-123.165105
11;Cardero Park;1;N;Y;N;N;1601;Bayshore Drive;Bayshore Drive;Cardero Street;West End;https://vancouver.ca/news-calendar/west-end.aspx;0.33;49.292211,-123.128206
21;Harbour Green Park;1;N;Y;Y;Y;1199;W Cordova Street;W Cordova Street;Bute Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;3.1;49.290263,-123.121924
24;Marina Square;1;N;Y;N;N;1675;Bayshore Drive;Bayshore Drive;Denman Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.63;49.292334,-123.131296
26;Pioneer Place (Pigeon Park);1;N;N;N;N;399;Carrall Street;W Hastings Street;Carrall Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.03;49.281699,-123.104588
28;CRAB Park at Portside;1;N;N;Y;Y;101;E Waterfront Road;E Waterfront Road;Main Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;3.31;49.284942,-123.102377
31;Victory Square;1;N;N;N;N;200;W Hastings Street;W Hastings Street;Cambie Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.39;49.282218,-123.110133
